,,,,,,,trackDescription,,,,,Coordinate,,
ID,identifier,TrackName,fIlePath,valley,images,videoPath,generalDesc,instrumentDesc,MusicianDesc,lyrictranslit,lyrictranslation,Latitude,Longitude,oneLineDescription
22,Intro06,Introduction to the Valley of Bewilderment,,6,,,,,,,https://drive.google.com/open?id=1Kc-TMGzguT2duNWZM20tIh6rORl9IbA7,,,"The introductory piece to the Valley of Bewilderment, corresponding with ""Dastgah-e Rast-Panjgah"""
23,Intro07,Introduction to the Valley of Poverty,,7,,,,,,,https://drive.google.com/open?id=1J6kpP_NktJnWe1TKNEhckpHRy32-aurY,,,"The introductory piece to the Valley of Poverty, corresponding with ""Dastgah-e Nava"""
24,Dr01,1st Valley's drone,,1,,,,,,,,,,"the ambient/drone sound of the Valley of Quest, preferably composed in the Dastgah of Shoor"
25,Dr02,2nd Valley's drone,,2,,,,,,,,,,"the ambient/drone sound of the Valley of Love, preferably composed in the Dastgah of Segāh"
26,Dr03,3rd Valley's drone,,3,,,,,,,,,,"the ambient/drone sound of the Valley of Knowledge, preferably composed in the Dastgah of Chahargāh"
27,Dr04,4th Valley's drone,,4,,,,,,,,,,"the ambient/drone sound of the Valley of Detachment, preferably composed in the Dastgah of Mahoor"
28,Dr05,5th Valley's drone,,5,,,,,,,,,,"the ambient/drone sound of the Valley of Unity, preferably composed in the Dastgah of Homayoun"
29,Dr06,6th Valley's drone,,6,,,,,,,,,,"the ambient/drone sound of the Valley of Bewilderment, preferably composed in the Dastgah of Rast-Panjgah"
30,Dr07,7th Valley's drone,,7,,,,,,,,,,"the ambient/drone sound of the Valley of Poverty-Annihilation, preferably composed in the Dastgah of Navā"
31,Azan1,Azan in Bayati,,,,,,,,,,,,
32,Azan2,Azan in Chahargah,,,,,,,,,,,,
33,Azan3,Azan in Rooh-al-arvāh,,,,,,,,,,,,
34,Quran1,,,,,,,,,,,,,
35,Quran2,,,,,,,,,,,,,
36,Quran3,,,,,,,,,,,,,
37,,,https://islamicgarden.ualberta.ca/flask/assets/birds-singing-03.ogg,8,,,,,,,,,,
38,,,https://islamicgarden.ualberta.ca/flask/assets/Humay_and_Humayun.mp3,9,,,,,,,,,,
